EMS_ID,MONITORING_LOCATION,REQUISITION_ID
1100844,ELK LAKE; CENTER,50223257
1100844,ELK LAKE; CENTER,50223257
1100953,LANGFORD LAKE; CENTRE,50223255
1100953,LANGFORD LAKE; CENTRE,50223255
E207466,QUAMICHAN LAKE; CENTRE,50223254
E207466,QUAMICHAN LAKE; CENTRE,50223254
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50223253
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50223253
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50223252
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50223252
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50223251
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50223251
1100862,BRANNEN LAKE,50223250
1100862,BRANNEN LAKE,50223250
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50223591
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50223591
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50223592
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50223592
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50223611
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50223611
500453,SKAHA L WEST OKANAGAN R MOUTH,50223632
500453,SKAHA L WEST OKANAGAN R MOUTH,50223632
500615,SKAHA L OPP. GILLIES,50223631
500615,SKAHA L OPP. GILLIES,50223631
500846,SKAHA L SOUTH BASIN,50223633
500846,SKAHA L SOUTH BASIN,50223633
500728,OSOYOOS L OPP. MONASHEE CO-OP,50223720
500728,OSOYOOS L OPP. MONASHEE CO-OP,50223720
E220540,OSOYOOS LAKE CENTRAL BASIN,50223721
E220540,OSOYOOS LAKE CENTRAL BASIN,50223721
500248,OSOYOOS L SOUTH BASIN,50223719
500248,OSOYOOS L SOUTH BASIN,50223719
500848,WOOD LAKE DEEP BASIN,50223712
500848,WOOD LAKE DEEP BASIN,50223712
500118,MABEL L @ SOUTH END (PE00173),50223714
500118,MABEL L @ SOUTH END (PE00173),50223714
500117,MABEL L @ TSUIUS CREEK,50223718
500117,MABEL L @ TSUIUS CREEK,50223718
500461,KALAMALKA L SOUTH COLDSTREAM C,50223698
