EMS_ID,MONITORING_LOCATION,REQUISITION_ID
500461,KALAMALKA L SOUTH COLDSTREAM C,50223698
500847,KALAMALKA LAKE DEEP BASIN,50223699
500847,KALAMALKA LAKE DEEP BASIN,50223699
500246,KALAMALKA LAKE SOUTH END,50223697
500246,KALAMALKA LAKE SOUTH END,50223697
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50223723
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50223723
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50224141
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50224141
500128,MARA LAKE OPPOSITE FOSSETT,50223724
500128,MARA LAKE OPPOSITE FOSSETT,50223724
E285689,MARA SOUTH OFF KINGBAKER C,50223725
E285689,MARA SOUTH OFF KINGBAKER C,50223725
500265,ELLISON LAKE CENTRAL,50223722
500265,ELLISON LAKE CENTRAL,50223722
603019,WILLIAMS LAKE AT CENTER,50224344
603019,WILLIAMS LAKE AT CENTER,50224344
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50224331
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50224331
200078,CHRISTINA L @ CHRISTINA,50224332
200078,CHRISTINA L @ CHRISTINA,50224332
1130218,SLOCAN LAKE; N. END,50224340
1130218,SLOCAN LAKE; N. END,50224340
1130219,SLOCAN LAKE; S. END,50224339
1130219,SLOCAN LAKE; S. END,50224339
E301591,MOYIE LAKE SOUTH,50224342
E301591,MOYIE LAKE SOUTH,50224342
E301590,MOYIE LAKE NORTH,50224341
E301590,MOYIE LAKE NORTH,50224341
200052,WINDERMERE L. OFF TIMBER RIDGE,50224360
200052,WINDERMERE L. OFF TIMBER RIDGE,50224360
200434,COLUMBIA LAKE; MIDLAKE NORTH,50224359
200434,COLUMBIA LAKE; MIDLAKE NORTH,50224359
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50224444
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50224444
603097,CHIMNEY LK. AT NW END,50224471
603097,CHIMNEY LK. AT NW END,50224471
500119,SUGAR L @ SITKUM CR.,50223726
500119,SUGAR L @ SITKUM CR.,50223726
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50224445
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50224445
E223304,DIANA LAKE,50219591
E223304,DIANA LAKE,50219591
E206616,LAKELSE LAKE DEEP STATION,50219590
E206616,LAKELSE LAKE DEEP STATION,50219590
500123,SHUSWAP LK WEST OF SORRENTO,50224146
500123,SHUSWAP LK WEST OF SORRENTO,50224146
E228889,ADAMS LK OFF BRENNAN CK,50224702
E228889,ADAMS LK OFF BRENNAN CK,50224702
603017,DRAGON LK. AT MIDDLE,50224779
603017,DRAGON LK. AT MIDDLE,50224779
603100,HORSE LK. AT DEEPEST PT.,50224472
603100,HORSE LK. AT DEEPEST PT.,50224472
603006,NICOLA LK AT DEEPEST PT.,50224734
603006,NICOLA LK AT DEEPEST PT.,50224734
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50224576
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50224576
E105973,FRASER L WEST BASIN DEEP STN,50224575
E105973,FRASER L WEST BASIN DEEP STN,50224575
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50224577
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50224577
1131007,KATHLYN LAKE; NORTHBASIN,50224559
1131007,KATHLYN LAKE; NORTHBASIN,50224559
E206955,NALTESBY LK. DEEP STN. NEAR MAIN ISLAND,50224699
803038,PUNTZI LAKE AT CENTRE,50224465
803038,PUNTZI LAKE AT CENTRE,50224465
E206955,NALTESBY LK. DEEP STN. NEAR MAIN ISLAND,50224699
1130618,BURNS LAKE; DEEP STN #2,50224923
1130618,BURNS LAKE; DEEP STN #2,50224923
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50224922
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50224922
E224946,FRANCOIS LAKE EAST END DEEP STATION,50224924
E224946,FRANCOIS LAKE EAST END DEEP STATION,50224924
E224945,FRANCOIS LAKE WEST END DEEP STATION,50224926
E262699,BOWRON LAKE @ DEEPEST PT.,50224459
E224945,FRANCOIS LAKE WEST END DEEP STATION,50224926
E262699,BOWRON LAKE @ DEEPEST PT.,50224459
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50224925
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50224925
E206956,STUART LK EAST (MAIN) DEEP STN.,50224574
E216924,TYHEE LAKE @ DEEP STN,50224560
E206956,STUART LK EAST (MAIN) DEEP STN.,50224574
E216924,TYHEE LAKE @ DEEP STN,50224560
E207907,MOBERLY LAKE DEEP STN.,50224943
E207907,MOBERLY LAKE DEEP STN.,50224943
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50224941
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50224941
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50224945
1131112,MORICE LAKE; CENTER,50224119
1131112,MORICE LAKE; CENTER,50224119
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50224945
603071,PENNASK LK NEAR CENTER,50224742
603071,PENNASK LK NEAR CENTER,50224742
1131112,MORICE LAKE; CENTER,50226510
1131112,MORICE LAKE; CENTER,50226510
1131007,KATHLYN LAKE; NORTHBASIN,50226584
1131007,KATHLYN LAKE; NORTHBASIN,50226584
E216924,TYHEE LAKE @ DEEP STN,50226585
E216924,TYHEE LAKE @ DEEP STN,50226585
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50226225
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50226225
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50226224
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50226224
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50226223
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50226223
603019,WILLIAMS LAKE AT CENTER,50226600
603019,WILLIAMS LAKE AT CENTER,50226600
E223304,DIANA LAKE,50226580
E223304,DIANA LAKE,50226580
E275463,BAINBRIDGE LAKE; DEEP STN,50226155
E275463,BAINBRIDGE LAKE; DEEP STN,50226155
1100844,ELK LAKE; CENTER,50226220
1100844,ELK LAKE; CENTER,50226220
1100953,LANGFORD LAKE; CENTRE,50226219
1100953,LANGFORD LAKE; CENTRE,50226219
E207466,QUAMICHAN LAKE; CENTRE,50226221
E207466,QUAMICHAN LAKE; CENTRE,50226221
E301590,MOYIE LAKE NORTH,50226802
E301590,MOYIE LAKE NORTH,50226802
1100862,BRANNEN LAKE,50226158
E301591,MOYIE LAKE SOUTH,50226805
E301591,MOYIE LAKE SOUTH,50226805
1100862,BRANNEN LAKE,50226158
200434,COLUMBIA LAKE; MIDLAKE NORTH,50226801
200434,COLUMBIA LAKE; MIDLAKE NORTH,50226801
200052,WINDERMERE L. OFF TIMBER RIDGE,50226799
200052,WINDERMERE L. OFF TIMBER RIDGE,50226799
603071,PENNASK LK NEAR CENTER,50227028
603071,PENNASK LK NEAR CENTER,50227028
E275784,ALTA LAKE; NORTH DEEP SITE,50226521
E275784,ALTA LAKE; NORTH DEEP SITE,50226521
603017,DRAGON LK. AT MIDDLE,50226918
603017,DRAGON LK. AT MIDDLE,50226918
1132490,BROHM LAKE; MIDLAKE,50226520
1132490,BROHM LAKE; MIDLAKE,50226520
1130618,BURNS LAKE; DEEP STN #2,50226586
1130618,BURNS LAKE; DEEP STN #2,50226586
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50226587
E224946,FRANCOIS LAKE EAST END DEEP STATION,50226589
E224946,FRANCOIS LAKE EAST END DEEP STATION,50226589
E224945,FRANCOIS LAKE WEST END DEEP STATION,50226590
E224945,FRANCOIS LAKE WEST END DEEP STATION,50226590
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50226588
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50226588
500119,SUGAR L @ SITKUM CR.,50226411
1131186,WHITESWAN LAKE,50226808
500119,SUGAR L @ SITKUM CR.,50226411
1131186,WHITESWAN LAKE,50226808
E262699,BOWRON LAKE @ DEEPEST PT.,50226909
E262699,BOWRON LAKE @ DEEPEST PT.,50226909
E303250,PREMIER LAKE (DEEPEST POINT),50226807
E303250,PREMIER LAKE (DEEPEST POINT),50226807
603097,CHIMNEY LK. AT NW END,50226594
E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,50226519
603097,CHIMNEY LK. AT NW END,50226594
E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,50226519
500453,SKAHA L WEST OKANAGAN R MOUTH,50226318
500453,SKAHA L WEST OKANAGAN R MOUTH,50226318
500615,SKAHA L OPP. GILLIES,50226317
500615,SKAHA L OPP. GILLIES,50226317
500846,SKAHA L SOUTH BASIN,50226316
500846,SKAHA L SOUTH BASIN,50226316
603100,HORSE LK. AT DEEPEST PT.,50226609
603100,HORSE LK. AT DEEPEST PT.,50226609
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50226039
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50226039
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50226314
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50226314
500461,KALAMALKA L SOUTH COLDSTREAM C,50226380
500461,KALAMALKA L SOUTH COLDSTREAM C,50226380
500847,KALAMALKA LAKE DEEP BASIN,50226381
803038,PUNTZI LAKE AT CENTRE,50226914
500847,KALAMALKA LAKE DEEP BASIN,50226381
803038,PUNTZI LAKE AT CENTRE,50226914
500246,KALAMALKA LAKE SOUTH END,50226379
500246,KALAMALKA LAKE SOUTH END,50226379
500848,WOOD LAKE DEEP BASIN,50226382
500848,WOOD LAKE DEEP BASIN,50226382
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50226389
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50226389
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50226315
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50226315
500728,OSOYOOS L OPP. MONASHEE CO-OP,50226386
500728,OSOYOOS L OPP. MONASHEE CO-OP,50226386
E220540,OSOYOOS LAKE CENTRAL BASIN,50226387
E220540,OSOYOOS LAKE CENTRAL BASIN,50226387
500248,OSOYOOS L SOUTH BASIN,50226385
500248,OSOYOOS L SOUTH BASIN,50226385
500265,ELLISON LAKE CENTRAL,50226388
500265,ELLISON LAKE CENTRAL,50226388
500118,MABEL L @ SOUTH END (PE00173),50226383
500118,MABEL L @ SOUTH END (PE00173),50226383
500117,MABEL L @ TSUIUS CREEK,50226384
500117,MABEL L @ TSUIUS CREEK,50226384
500128,MARA LAKE OPPOSITE FOSSETT,50226390
500128,MARA LAKE OPPOSITE FOSSETT,50226390
E285689,MARA SOUTH OFF KINGBAKER C,50226391
E285689,MARA SOUTH OFF KINGBAKER C,50226391
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50226410
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50226410
200078,CHRISTINA L @ CHRISTINA,50226409
200078,CHRISTINA L @ CHRISTINA,50226409
1130218,SLOCAN LAKE; N. END,50227232
1130218,SLOCAN LAKE; N. END,50227232
1130219,SLOCAN LAKE; S. END,50227231
1130219,SLOCAN LAKE; S. END,50227231
603006,NICOLA LK AT DEEPEST PT.,50227359
603006,NICOLA LK AT DEEPEST PT.,50227359
E228889,ADAMS LK OFF BRENNAN CK,50227719
E228889,ADAMS LK OFF BRENNAN CK,50227719
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50227929
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50227929
500123,SHUSWAP LK WEST OF SORRENTO,50227880
500123,SHUSWAP LK WEST OF SORRENTO,50227880
1100844,ELK LAKE; CENTER,50228759
1100844,ELK LAKE; CENTER,50228759
1100844,ELK LAKE; CENTER,50228759
1100844,ELK LAKE; CENTER,50228759
1100844,ELK LAKE; CENTER,50228759
1100953,LANGFORD LAKE; CENTRE,50228772
1100953,LANGFORD LAKE; CENTRE,50228772
E207466,QUAMICHAN LAKE; CENTRE,50228760
E207466,QUAMICHAN LAKE; CENTRE,50228760
E206283,LIZARD LAKE DEEPEST POINT,50228775
E206283,LIZARD LAKE DEEPEST POINT,50228775
1100862,BRANNEN LAKE,50228764
1100862,BRANNEN LAKE,50228764
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50228763
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50228763
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50228762
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50228762
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50228761
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50228761
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50228911
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50228911
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50228902
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50228902
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50228912
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50228912
500453,SKAHA L WEST OKANAGAN R MOUTH,50228915
500453,SKAHA L WEST OKANAGAN R MOUTH,50228915
500846,SKAHA L SOUTH BASIN,50228913
500846,SKAHA L SOUTH BASIN,50228913
500615,SKAHA L OPP. GILLIES,50228914
500615,SKAHA L OPP. GILLIES,50228914
500461,KALAMALKA L SOUTH COLDSTREAM C,50228917
500461,KALAMALKA L SOUTH COLDSTREAM C,50228917
500847,KALAMALKA LAKE DEEP BASIN,50228960
500847,KALAMALKA LAKE DEEP BASIN,50228960
500246,KALAMALKA LAKE SOUTH END,50228916
500246,KALAMALKA LAKE SOUTH END,50228916
500728,OSOYOOS L OPP. MONASHEE CO-OP,50228965
500728,OSOYOOS L OPP. MONASHEE CO-OP,50228965
E220540,OSOYOOS LAKE CENTRAL BASIN,50228966
E220540,OSOYOOS LAKE CENTRAL BASIN,50228966
500248,OSOYOOS L SOUTH BASIN,50228964
500248,OSOYOOS L SOUTH BASIN,50228964
500848,WOOD LAKE DEEP BASIN,50228961
500848,WOOD LAKE DEEP BASIN,50228961
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50228918
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50228918
500265,ELLISON LAKE CENTRAL,50228984
500265,ELLISON LAKE CENTRAL,50228984
1132490,BROHM LAKE; MIDLAKE,50229064
1132490,BROHM LAKE; MIDLAKE,50229064
500118,MABEL L @ SOUTH END (PE00173),50228962
500118,MABEL L @ SOUTH END (PE00173),50228962
500117,MABEL L @ TSUIUS CREEK,50228963
500117,MABEL L @ TSUIUS CREEK,50228963
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50228982
E215758,CHRISTINA LAKE NORTH BASIN DEEP CENTRE,50228982
200078,CHRISTINA L @ CHRISTINA,50228981
200078,CHRISTINA L @ CHRISTINA,50228981
E206616,LAKELSE LAKE DEEP STATION,50229966
E206616,LAKELSE LAKE DEEP STATION,50229966
E228889,ADAMS LK OFF BRENNAN CK,50230062
E228889,ADAMS LK OFF BRENNAN CK,50230062
E301590,MOYIE LAKE NORTH,50229732
E301591,MOYIE LAKE SOUTH,50229733
603006,NICOLA LK AT DEEPEST PT.,50230038
603006,NICOLA LK AT DEEPEST PT.,50230038
603019,WILLIAMS LAKE AT CENTER,50230152
603019,WILLIAMS LAKE AT CENTER,50230152
E216924,TYHEE LAKE @ DEEP STN,50229975
E216924,TYHEE LAKE @ DEEP STN,50229975
200434,COLUMBIA LAKE; MIDLAKE NORTH,50229731
200434,COLUMBIA LAKE; MIDLAKE NORTH,50229731
1131007,KATHLYN LAKE; NORTHBASIN,50229968
E285689,MARA SOUTH OFF KINGBAKER C,50228980
E285689,MARA SOUTH OFF KINGBAKER C,50228980
1131007,KATHLYN LAKE; NORTHBASIN,50229968
603017,DRAGON LK. AT MIDDLE,50230162
603017,DRAGON LK. AT MIDDLE,50230162
500128,MARA LAKE OPPOSITE FOSSETT,50228979
500128,MARA LAKE OPPOSITE FOSSETT,50228979
200052,WINDERMERE L. OFF TIMBER RIDGE,50229730
200052,WINDERMERE L. OFF TIMBER RIDGE,50229730
500119,SUGAR L @ SITKUM CR.,50228983
500119,SUGAR L @ SITKUM CR.,50228983
500123,SHUSWAP LK WEST OF SORRENTO,50230034
500123,SHUSWAP LK WEST OF SORRENTO,50230034
603100,HORSE LK. AT DEEPEST PT.,50230206
603100,HORSE LK. AT DEEPEST PT.,50230206
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50230044
500124,SHUSWAP LK OPPOSITE MARBLE PT.,50230044
E223304,DIANA LAKE,50226579
E223304,DIANA LAKE,50226579
1130219,SLOCAN LAKE; S. END,50229726
1130219,SLOCAN LAKE; S. END,50229726
1130218,SLOCAN LAKE; N. END,50229701
1130218,SLOCAN LAKE; N. END,50229701
603097,CHIMNEY LK. AT NW END,50230154
603097,CHIMNEY LK. AT NW END,50230154
E303250,PREMIER LAKE (DEEPEST POINT),50229728
E303250,PREMIER LAKE (DEEPEST POINT),50229728
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50229480
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50229480
1131186,WHITESWAN LAKE,50229729
803038,PUNTZI LAKE AT CENTRE,50230486
1131186,WHITESWAN LAKE,50229729
803038,PUNTZI LAKE AT CENTRE,50230486
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50229440
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50229445
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50229440
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50229445
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50229478
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50229478
E105973,FRASER L WEST BASIN DEEP STN,50229479
E105973,FRASER L WEST BASIN DEEP STN,50229479
E206956,STUART LK EAST (MAIN) DEEP STN.,50229443
E206956,STUART LK EAST (MAIN) DEEP STN.,50229443
603071,PENNASK LK NEAR CENTER,50230827
603071,PENNASK LK NEAR CENTER,50230827
1131112,MORICE LAKE; CENTER,50229967
1131112,MORICE LAKE; CENTER,50229967
1130618,BURNS LAKE; DEEP STN #2,50229977
E207907,MOBERLY LAKE DEEP STN.,50229507
E207907,MOBERLY LAKE DEEP STN.,50229507
1130618,BURNS LAKE; DEEP STN #2,50229977
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50229976
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50229976
E224946,FRANCOIS LAKE EAST END DEEP STATION,50229973
E224946,FRANCOIS LAKE EAST END DEEP STATION,50229973
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50229515
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50229515
E224945,FRANCOIS LAKE WEST END DEEP STATION,50229974
E224945,FRANCOIS LAKE WEST END DEEP STATION,50229974
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50229972
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50229972
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50223972
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50223972
E275784,ALTA LAKE; NORTH DEEP SITE,50229063
E275784,ALTA LAKE; NORTH DEEP SITE,50229063
1131007,KATHLYN LAKE; NORTHBASIN,50231918
E216924,TYHEE LAKE @ DEEP STN,50231917
1131007,KATHLYN LAKE; NORTHBASIN,50231918
E216924,TYHEE LAKE @ DEEP STN,50231917
E223304,DIANA LAKE,50231924
E223304,DIANA LAKE,50232727
E223304,DIANA LAKE,50231924
E206616,LAKELSE LAKE DEEP STATION,50231925
E206616,LAKELSE LAKE DEEP STATION,50231925
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50223946
400336,TABOR L DEEP STN -IN SOUTH HALF OF LAKE,50223946
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50229441
400489,NADSILNICH (WEST) L DEEP STN CENTER N. END,50229441
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50232071
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50232069
1100862,BRANNEN LAKE,50232072
1100862,BRANNEN LAKE,50232072
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50232070
E217509,COWICHAN LAKE LIMNOLOGY STATION # 3,50232069
E217508,COWICHAN LAKE LIMNOLOGY STATION # 2,50232070
E217507,COWICHAN LAKE LIMNOLOGY STATION # 1,50232071
E207466,QUAMICHAN LAKE; CENTRE,50232076
E206283,LIZARD LAKE DEEPEST POINT,50232078
E207466,QUAMICHAN LAKE; CENTRE,50232076
E206283,LIZARD LAKE DEEPEST POINT,50232078
E207907,MOBERLY LAKE DEEP STN.,50229508
E207907,MOBERLY LAKE DEEP STN.,50229508
1100844,ELK LAKE; CENTER,50232074
1100844,ELK LAKE; CENTER,50232074
1100953,LANGFORD LAKE; CENTRE,50232075
1100953,LANGFORD LAKE; CENTRE,50232075
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50229488
400390,CHARLIE L DEEP STATION 1.2 KM EAST OF PARK,50229488
E301590,MOYIE LAKE NORTH,50232218
E301590,MOYIE LAKE NORTH,50232218
E301591,MOYIE LAKE SOUTH,50232208
E301591,MOYIE LAKE SOUTH,50232208
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50229519
400935,SWAN L CENTER DEEP STN. 7 M DEPTH,50229519
E275463,BAINBRIDGE LAKE; DEEP STN,50232073
E275463,BAINBRIDGE LAKE; DEEP STN,50232073
E303250,PREMIER LAKE (DEEPEST POINT),50232212
E303250,PREMIER LAKE (DEEPEST POINT),50232212
1130618,BURNS LAKE; DEEP STN #2,50231951
1130618,BURNS LAKE; DEEP STN #2,50231951
1131186,WHITESWAN LAKE,50232211
1131186,WHITESWAN LAKE,50232211
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50231950
400379,BURNS LAKE NEAR DEADMAN`S ISLAND,50231950
E224946,FRANCOIS LAKE EAST END DEEP STATION,50231953
200052,WINDERMERE L. OFF TIMBER RIDGE,50232207
E224946,FRANCOIS LAKE EAST END DEEP STATION,50231953
200052,WINDERMERE L. OFF TIMBER RIDGE,50232207
E224945,FRANCOIS LAKE WEST END DEEP STATION,50231954
E224945,FRANCOIS LAKE WEST END DEEP STATION,50231954
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50231952
200434,COLUMBIA LAKE; MIDLAKE NORTH,50232209
200434,COLUMBIA LAKE; MIDLAKE NORTH,50232209
E271703,FRANCOIS LAKE CENTRE DEEP STATION,50231952
603019,WILLIAMS LAKE AT CENTER,50232387
603019,WILLIAMS LAKE AT CENTER,50232387
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50229486
400502,CLUCULZ L DEEP STN EAST ARM CENTER,50229486
500119,SUGAR L @ SITKUM CR.,50231879
500119,SUGAR L @ SITKUM CR.,50231879
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50229442
400411,FRASER L NEAR MIDDLE 3 KM E LOT 3229,50229442
E105973,FRASER L WEST BASIN DEEP STN,50229481
E105973,FRASER L WEST BASIN DEEP STN,50229481
603097,CHIMNEY LK. AT NW END,50232378
603097,CHIMNEY LK. AT NW END,50232378
603017,DRAGON LK. AT MIDDLE,50232507
603017,DRAGON LK. AT MIDDLE,50232507
603006,NICOLA LK AT DEEPEST PT.,50232531
603006,NICOLA LK AT DEEPEST PT.,50232531
500453,SKAHA L WEST OKANAGAN R MOUTH,50231898
500453,SKAHA L WEST OKANAGAN R MOUTH,50231898
500615,SKAHA L OPP. GILLIES,50231897
500615,SKAHA L OPP. GILLIES,50231897
500846,SKAHA L SOUTH BASIN,50231896
500846,SKAHA L SOUTH BASIN,50231896
1132490,BROHM LAKE; MIDLAKE,50232597
1132490,BROHM LAKE; MIDLAKE,50232597
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50231894
500454,OKANAGAN L SOUTH PRAIRIE C - OK1 - N SUMMERLAND STP OUTFALL DIFFUSER,50231894
E275784,ALTA LAKE; NORTH DEEP SITE,50232596
E275784,ALTA LAKE; NORTH DEEP SITE,50232596
1131112,MORICE LAKE; CENTER,50231949
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50231893
1131112,MORICE LAKE; CENTER,50231949
500236,OKANAGAN L D/S KELOWNA STP (DEEP),50231893
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50231895
500730,OKANAGAN L NORTH OKANAGAN CENTRE,50231895
603071,PENNASK LK NEAR CENTER,50232535
603071,PENNASK LK NEAR CENTER,50232535
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50231910
500239,OKANAGAN L CENTRAL ARMSTRONG ARM,50231910
E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,50232598
E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,50232598
500461,KALAMALKA L SOUTH COLDSTREAM C,50231901
500461,KALAMALKA L SOUTH COLDSTREAM C,50231901
500847,KALAMALKA LAKE DEEP BASIN,50231902
